Name	Class	Max_Spell_Level
Andre	Sorcerer	3
Andrew 	Wizard		3
Cesar 	Sorcerer	8
Craig 	Bard		5
Danny	Wizard		6
David 	Wizard		5
Ellis 	Sorcerer	4
Emmett 	Sorcerer	1
Freddie	Sorcerer	2
Gabriel	Bard		2
Gary	Wizard		5
Gavin	Cleric		5
Jack 	Cleric		2
Jagger	Bard		1
James 	Cleric		4
Jayden	Sorcerer	6
Jovani 	Cleric		1
Kayson 	Sorcerer	6
Louie 	Bard		3
Lucca	Sorcerer	7
Luke 	Wizard		7
Nicholas Cleric		4
Oliver	Wizard		8
Peter 	Cleric		5
Phillip	Cleric		9
Stanley Cleric		2
Terrence Sorcerer	4
Tyrone 	Wizard		5
William Bard		6
Zachary	Sorcerer	1
