Spell_Name	Class	Level
Alarm	Wizard	1
Augury	Cleric	2
Awaken	Bard	5
Banishment	Cleric	4
Bless	Cleric	1
Blur	Sorcerer	2
Blur	Wizard	2
Clone	Wizard	8
Confusion	Sorcerer	4
Confusion	Bard	5
Confusion	Cleric	4
Confusion	Wizard	4
Contingency	Wizard	6
Cure_Wounds	Cleric	1
Daylight	Cleric	3
Earthquake	Cleric	8
Earthquake	Sorcerer	8
Earthquake	Wizard	9
Enthrall	Bard	2
Etherealness	Cleric	7
Eyebite	Bard	6
Eyebite	Sorcerer	6
Eyebite	Wizard	7
Fabricate	Wizard	4
Fear	Bard	3
Fear	Sorcerer	3
Fear	Wizard	3
Fireball	Sorcerer	3
Fireball	Wizard	3
Forcecage	Wizard	7
Geas	Bard	5
Geas	Cleric	5
Geas	Wizard	5
Hallow	Cleric	5
Harm	Cleric	6
Haste	Sorcerer	3
Heal	Cleric	6
Heroism	Bard	1
Identify	Bard	1
Jump	Sorcerer	1
Jump	Wizard	1
Knock	Sorcerer	2
Knock	Wizard	2
Magic_Missile	Sorcerer	1
Mass_Heal	Cleric	9
Maze	Wizard	8
Mislead	Wizard	5
Mislead	Bard	4
Passwall	Wizard	5
Polymorph	Bard	4
Polymorph	Sorcerer	5
Regenerate	Cleric	7
Sending	Cleric	3
Sending	Wizard	3
Shatter	Bard	2
Shatter	Sorcerer	2
Shatter	Wizard	2
Silence	Bard	2
Silence	Cleric	2
Sleep	Bard	1
Sleep	Sorcerer	1
Sleep	Wizard	1
Slow	Wizard	3
Slow	Bard	2
Stoneskin	Wizard	4
Sunbeam	Wizard	6
Sunbeam	Cleric	6
Sunburst	Sorcerer	8
Sunburst	Cleric	7
Telekinesis	Sorcerer	5
Telekinesis	Wizard	5
Teleport	Sorcerer	7
Teleport	Wizard	7
Thunderwave	Wizard	1
Tongues	Bard	3
Tongues	Cleric	3
Wish	Sorcerer	9
Wish	Wizard	9
