Spell_Name	Type
Alarm	Abjuration
Augury	Divination
Awaken	Transmutation
Banishment	Abjuration
Bless	Enchantment
Blur	Illusion
Clone	Necromancy
Confusion	Enchantment
Contingency	Evocation
Cure_Wounds	Evocation
Daylight	Evocation
Earthquake	Evocation
Enthrall	Enchantment
Etherealness	Transmutation
Eyebite	Necromancy
Fabricate	Transmutation
Fear	Illusion
Fireball	Evocation
Forcecage	Evocation
Geas	Enchantment
Hallow	Evocation
Harm	Necromancy
Haste	Transmutation
Heal	Evocation
Heroism	Enchantment
Identify	Divination
Jump	Transmutation
Knock	Transmutation
Magic_Missile	Evocation
Mass_Heal	Evocation
Maze	Conjuration
Mislead	Illusion
Passwall	Transmutation
Polymorph	Transmutation
Regenerate	Transmutation
Sending	Evocation
Shatter	Evocation
Silence	Illusion
Sleep	Enchantment
Slow	Transmutation
Stoneskin	Abjuration
Sunbeam	Evocation
Sunburst	Evocation
Telekinesis	Transmutation
Teleport	Conjuration
Thunderwave	Evocation
Tongues	Divination
Wish	Conjuration
